"NCBIGeneID" "EnsemblgeneID" "Hugo_gene"
1 "ENSG00000121410" "A1BG"
503538 "ENSG00000268895" "A1BG-AS1"
29974 "ENSG00000148584" "A1CF"
"null" "null" "A1S9T"
2 "ENSG00000175899" "A2M"
144571 "ENSG00000245105" "A2M-AS1"
144568 "ENSG00000166535" "A2ML1"
"null" "ENSG00000256661" "A2ML1-AS1"
"null" "ENSG00000256904" "A2ML1-AS2"
3 "ENSG00000256069" "A2MP1"
"null" "null" "A2MR"
"null" "null" "A2MRAP"
127550 "ENSG00000184389" "A3GALT2"
53947 "ENSG00000128274" "A4GALT"
51146 "ENSG00000118017" "A4GNT"
"null" "null" "A12M1"
"null" "null" "A12M2"
"null" "null" "A12M3"
"null" "null" "A12M4"
"null" "null" "AA"
8086 "ENSG00000094914" "AAAS"
"null" "null" "AABT"
"null" "null" "AAC1"
"null" "null" "AAC2"
65985 "ENSG00000081760" "AACS"
729522 "ENSG00000250420" "AACSP1"
"null" "null" "AACT"
13 "ENSG00000114771" "AADAC"
344752 "ENSG00000197953" "AADACL2"
101928142 "ENSG00000242908" "AADACL2-AS1"
126767 "ENSG00000188984" "AADACL3"
343066 "ENSG00000204518" "AADACL4"
201651 "ENSG00000240602" "AADACP1"
51166 "ENSG00000109576" "AADAT"
79719 "ENSG00000103591" "AAGAB"
22848 "ENSG00000115977" "AAK1"
28971 "ENSG00000087884" "AAMDC"
14 "ENSG00000127837" "AAMP"
15 "ENSG00000129673" "AANAT"
25980 "ENSG00000131043" "AAR2"
441376 "ENSG00000205002" "AARD"
16 "ENSG00000090861" "AARS1"
106480683 "ENSG00000249038" "AARS1P1"
57505 "ENSG00000124608" "AARS2"
80755 "ENSG00000266967" "AARSD1"
"null" "ENSG00000234969" "AARSD1P1"
132949 "ENSG00000157426" "AASDH"
60496 "ENSG00000149313" "AASDHPPT"
10157 "ENSG00000008311" "AASS"
284837 "ENSG00000215458" "AATBC"
26574 "ENSG00000275700" "AATF"
9625 "ENSG00000181409" "AATK"
17 "null" "AAVS1"
103021294 "ENSG00000281376" "ABALON"
18 "ENSG00000183044" "ABAT"
"null" "null" "ABC1"
"null" "null" "ABC2"
"null" "null" "ABC3"
