"Gene" "Sample" "Cancer" "FPKM"
"ENSG00000004846" "TCGA-02-0047-01A" "GBM" 0.0027
"ENSG00000005102" "TCGA-02-0047-01A" "GBM" 0.0183
"ENSG00000006059" "TCGA-02-0047-01A" "GBM" 0.0192
"ENSG00000005001" "TCGA-02-0047-01A" "GBM" 0.0207
"ENSG00000004809" "TCGA-02-0047-01A" "GBM" 0.0253
"ENSG00000006047" "TCGA-02-0047-01A" "GBM" 0.0322
"ENSG00000002726" "TCGA-02-0047-01A" "GBM" 0.0324
"ENSG00000005421" "TCGA-02-0047-01A" "GBM" 0.035
"ENSG00000002745" "TCGA-02-0047-01A" "GBM" 0.0379
"ENSG00000000005" "TCGA-02-0047-01A" "GBM" 0.0461
"ENSG00000005381" "TCGA-02-0047-01A" "GBM" 0.0842
"ENSG00000005981" "TCGA-02-0047-01A" "GBM" 0.0967
"ENSG00000005187" "TCGA-02-0047-01A" "GBM" 0.1107
"ENSG00000005961" "TCGA-02-0047-01A" "GBM" 0.1204
"ENSG00000006377" "TCGA-02-0047-01A" "GBM" 0.2009
"ENSG00000004948" "TCGA-02-0047-01A" "GBM" 0.2082
"ENSG00000001626" "TCGA-02-0047-01A" "GBM" 0.3371
"ENSG00000005073" "TCGA-02-0047-01A" "GBM" 0.354
"ENSG00000004848" "TCGA-02-0047-01A" "GBM" 0.4217
"ENSG00000005471" "TCGA-02-0047-01A" "GBM" 0.4855
"ENSG00000003989" "TCGA-02-0047-01A" "GBM" 0.6324
"ENSG00000002746" "TCGA-02-0047-01A" "GBM" 0.6699
"ENSG00000004939" "TCGA-02-0047-01A" "GBM" 0.7864
"ENSG00000000460" "TCGA-02-0047-01A" "GBM" 1.0037
"ENSG00000005007" "TCGA-02-0047-01A" "GBM" 10.5473
"ENSG00000005189" "TCGA-02-0047-01A" "GBM" 1.0708
"ENSG00000005022" "TCGA-02-0047-01A" "GBM" 107.7261
"ENSG00000004777" "TCGA-02-0047-01A" "GBM" 11.9795
"ENSG00000001460" "TCGA-02-0047-01A" "GBM" 1.2039
"ENSG00000006116" "TCGA-02-0047-01A" "GBM" 1.2182
"ENSG00000003400" "TCGA-02-0047-01A" "GBM" 1.2997
"ENSG00000006042" "TCGA-02-0047-01A" "GBM" 13.0117
"ENSG00000000003" "TCGA-02-0047-01A" "GBM" 13.2343
"ENSG00000000419" "TCGA-02-0047-01A" "GBM" 13.6358
"ENSG00000004776" "TCGA-02-0047-01A" "GBM" 13.6683
"ENSG00000004478" "TCGA-02-0047-01A" "GBM" 14.1808
"ENSG00000005194" "TCGA-02-0047-01A" "GBM" 14.4448
"ENSG00000000457" "TCGA-02-0047-01A" "GBM" 1.4922
"ENSG00000006071" "TCGA-02-0047-01A" "GBM" 1.4934
"ENSG00000002016" "TCGA-02-0047-01A" "GBM" 1.583
"ENSG00000005884" "TCGA-02-0047-01A" "GBM" 15.9374
"ENSG00000003056" "TCGA-02-0047-01A" "GBM" 16.0213
"ENSG00000004455" "TCGA-02-0047-01A" "GBM" 16.5429
"ENSG00000003249" "TCGA-02-0047-01A" "GBM" 17.4553
"ENSG00000002586" "TCGA-02-0047-01A" "GBM" 179.9536
"ENSG00000004487" "TCGA-02-0047-01A" "GBM" 18.3834
"ENSG00000005156" "TCGA-02-0047-01A" "GBM" 1.8678
"ENSG00000001629" "TCGA-02-0047-01A" "GBM" 19.1157
"ENSG00000001036" "TCGA-02-0047-01A" "GBM" 19.2732
