"Hugo Symbol","Entrez Gene ID","OncoKB Annotated","Is Oncogene","Is Tumor Suppressor Gene"
"ABL1",25,1,1,0
"AKT1",207,1,1,0
"ALK",238,1,1,0
"AMER1",139285,1,0,1
"APC",324,1,0,1
"AR",367,1,1,0
"ARID1A",8289,1,0,1
"ASXL1",171023,1,0,1
"ATM",472,1,0,1
"ATRX",546,1,0,1
"AXIN1",8312,1,0,1
"BAP1",8314,1,0,1
"BCL2",596,1,1,0
"BCOR",54880,1,0,1
"BRAF",673,1,1,0
"BRCA1",672,1,0,1
"BRCA2",675,1,0,1
"CARD11",84433,1,1,0
"CBL",867,1,0,1
"CDC73",79577,1,0,1
"CDH1",999,1,0,1
"CDKN2A",1029,1,0,1
"CEBPA",1050,1,0,1
"CIC",23152,1,0,1
"CREBBP",1387,1,0,1
"CTNNB1",1499,1,1,0
"DAXX",1616,1,0,1
"DNMT3A",1788,1,0,1
"EGFR",1956,1,1,0
"EP300",2033,1,0,1
"ERBB2",2064,1,1,0
"EZH2",2146,1,1,1
"FBXW7",55294,1,0,1
"FGFR2",2263,1,1,0
"FGFR3",2261,1,1,0
"FLT3",2322,1,1,0
"FOXL2",668,1,1,1
"GATA3",2625,1,1,1
"GNA11",2767,1,1,0
"GNAQ",2776,1,1,0
"GNAS",2778,1,1,0
"HNF1A",6927,1,0,1
"HRAS",3265,1,1,0
"IDH1",3417,1,1,0
"IDH2",3418,1,1,0
"JAK1",3716,1,1,1
"JAK2",3717,1,1,0
"JAK3",3718,1,1,0
"KDM5C",8242,1,0,1
"KDM6A",7403,1,0,1
"KIT",3815,1,1,0
"KMT2D",8085,1,0,1
"KRAS",3845,1,1,0
"MAP2K1",5604,1,1,0
"MAP3K1",4214,1,0,1
"MED12",9968,1,1,1
"MEN1",4221,1,0,1
"MET",4233,1,1,0
"MLH1",4292,1,0,1
"MPL",4352,1,1,0
"MSH2",4436,1,0,1
"MSH6",2956,1,0,1
"MYD88",4615,1,1,0
"NF1",4763,1,0,1
"NF2",4771,1,0,1
"NFE2L2",4780,1,1,0
"NOTCH1",4851,1,1,1
"NOTCH2",4853,1,1,1
"NPM1",4869,1,0,1
"NRAS",4893,1,1,0
"PAX5",5079,1,0,1
"PBRM1",55193,1,0,1
"PDGFRA",5156,1,1,0
"PIK3CA",5290,1,1,0
"PIK3R1",5295,1,0,1
"PPP2R1A",5518,1,0,1
"PRDM1",639,1,0,1
"PTCH1",5727,1,0,1
"PTEN",5728,1,0,1
"PTPN11",5781,1,1,0
"RB1",5925,1,0,1
"RET",5979,1,1,0
"RNF43",54894,1,0,1
"SETD2",29072,1,0,1
"SF3B1",23451,1,1,0
"SMAD2",4087,1,0,1
"SMAD4",4089,1,0,1
"SMARCA4",6597,1,0,1
"SMARCB1",6598,1,0,1
"SMO",6608,1,1,0
"SOCS1",8651,1,0,1
"SPOP",8405,1,0,1
"STAG2",10735,1,0,1
"STK11",6794,1,0,1
"TET2",54790,1,0,1
"TNFAIP3",7128,1,0,1
"TP53",7157,1,0,1
"TSC1",7248,1,0,1
"U2AF1",7307,1,1,0
"VHL",7428,1,0,1
"WT1",7490,1,1,1
"AKT2",208,1,1,0
"ARID2",196528,1,0,1
"ATR",545,1,0,1
