,Sample,Cancer,Hugo
82,TCGA-BP-5194-01A,KIRC,ABCB4
766,TCGA-A2-A0CO-01A,BRCA,ABCB5
1213,TCGA-A7-A3RF-01A,BRCA,ABCC8
1455,TCGA-A2-A0CO-01A,BRCA,ABCC8
1657,TCGA-E2-A1LB-01A,BRCA,ABCC8
1823,TCGA-FB-A4P5-01A,PAAD,ABCC8
2002,TCGA-G9-6356-01A,PRAD,ABCC8
2131,TCGA-EM-A3AP-01A,THCA,ABCC8
2179,TCGA-EM-A22J-01A,THCA,ABCC8
2396,TCGA-AA-A00Q-01A,COAD,ACSM3
2629,TCGA-CJ-6030-01A,KIRC,ACSM3
2694,TCGA-BP-5194-01A,KIRC,ACSM3
3761,TCGA-FB-A4P5-01A,PAAD,ACSM3
4016,TCGA-G9-6356-01A,PRAD,ACSM3
4061,TCGA-HC-7079-01A,PRAD,ACSM3
4989,TCGA-A7-A3RF-01A,BRCA,AK2
5227,TCGA-BH-A0B9-01A,BRCA,AK2
5335,TCGA-E2-A1LB-01A,BRCA,AK2
5687,TCGA-AU-6004-01A,COAD,AK2
5793,TCGA-AA-3554-01A,COAD,AK2
6030,TCGA-CN-A49A-01A,HNSC,AK2
6170,TCGA-CJ-6030-01A,KIRC,AK2
6228,TCGA-BP-5194-01A,KIRC,AK2
7002,TCGA-34-5240-01A,LUSC,AK2
7248,TCGA-24-0966-01A,OV,AK2
8546,TCGA-BH-A0B9-01A,BRCA,ALS2
8831,TCGA-AU-6004-01A,COAD,ALS2
9080,TCGA-CN-A49A-01A,HNSC,ALS2
9183,TCGA-CJ-6030-01A,KIRC,ALS2
9249,TCGA-BP-5194-01A,KIRC,ALS2
10611,TCGA-HC-7079-01A,PRAD,ALS2
11005,TCGA-XE-A9SE-01A,TGCT,ALS2
12061,TCGA-BH-A0B9-01A,BRCA,ANKIB1
12643,TCGA-CN-A49A-01A,HNSC,ANKIB1
12748,TCGA-CJ-6030-01A,KIRC,ANKIB1
12806,TCGA-BP-5194-01A,KIRC,ANKIB1
14321,TCGA-EM-A22J-01A,THCA,ANKIB1
