"Hugo Symbol","Entrez Gene ID","OncoKB Annotated","Is Oncogene","Is Tumor Suppressor Gene"
"ABL1",25,"Yes","Yes","No"
"AKT1",207,"Yes","Yes","No"
"ALK",238,"Yes","Yes","No"
"AMER1",139285,"Yes","No","Yes"
"APC",324,"Yes","No","Yes"
"AR",367,"Yes","Yes","No"
"ARID1A",8289,"Yes","No","Yes"
"ASXL1",171023,"Yes","No","Yes"
"ATM",472,"Yes","No","Yes"
"ATRX",546,"Yes","No","Yes"
"AXIN1",8312,"Yes","No","Yes"
"BAP1",8314,"Yes","No","Yes"
"BCL2",596,"Yes","Yes","No"
"BCOR",54880,"Yes","No","Yes"
"BRAF",673,"Yes","Yes","No"
"BRCA1",672,"Yes","No","Yes"
"BRCA2",675,"Yes","No","Yes"
"CARD11",84433,"Yes","Yes","No"
"CBL",867,"Yes","No","Yes"
"CDC73",79577,"Yes","No","Yes"
"CDH1",999,"Yes","No","Yes"
"CDKN2A",1029,"Yes","No","Yes"
"CEBPA",1050,"Yes","No","Yes"
"CIC",23152,"Yes","No","Yes"
"CREBBP",1387,"Yes","No","Yes"
"CTNNB1",1499,"Yes","Yes","No"
"DAXX",1616,"Yes","No","Yes"
"DNMT3A",1788,"Yes","No","Yes"
"EGFR",1956,"Yes","Yes","No"
"EP300",2033,"Yes","No","Yes"
"ERBB2",2064,"Yes","Yes","No"
"EZH2",2146,"Yes","Yes","Yes"
"FBXW7",55294,"Yes","No","Yes"
"FGFR2",2263,"Yes","Yes","No"
"FGFR3",2261,"Yes","Yes","No"
"FLT3",2322,"Yes","Yes","No"
"FOXL2",668,"Yes","Yes","Yes"
"GATA3",2625,"Yes","Yes","Yes"
"GNA11",2767,"Yes","Yes","No"
"GNAQ",2776,"Yes","Yes","No"
"GNAS",2778,"Yes","Yes","No"
"HNF1A",6927,"Yes","No","Yes"
"HRAS",3265,"Yes","Yes","No"
"IDH1",3417,"Yes","Yes","No"
"IDH2",3418,"Yes","Yes","No"
"JAK1",3716,"Yes","Yes","Yes"
"JAK2",3717,"Yes","Yes","No"
"JAK3",3718,"Yes","Yes","No"
"KDM5C",8242,"Yes","No","Yes"
"KDM6A",7403,"Yes","No","Yes"
"KIT",3815,"Yes","Yes","No"
"KMT2D",8085,"Yes","No","Yes"
"KRAS",3845,"Yes","Yes","No"
"MAP2K1",5604,"Yes","Yes","No"
"MAP3K1",4214,"Yes","No","Yes"
"MED12",9968,"Yes","Yes","Yes"
"MEN1",4221,"Yes","No","Yes"
"MET",4233,"Yes","Yes","No"
"MLH1",4292,"Yes","No","Yes"
"MPL",4352,"Yes","Yes","No"
"MSH2",4436,"Yes","No","Yes"
"MSH6",2956,"Yes","No","Yes"
"MYD88",4615,"Yes","Yes","No"
"NF1",4763,"Yes","No","Yes"
"NF2",4771,"Yes","No","Yes"
"NFE2L2",4780,"Yes","Yes","No"
"NOTCH1",4851,"Yes","Yes","Yes"
"NOTCH2",4853,"Yes","Yes","Yes"
"NPM1",4869,"Yes","No","Yes"
"NRAS",4893,"Yes","Yes","No"
"PAX5",5079,"Yes","No","Yes"
"PBRM1",55193,"Yes","No","Yes"
"PDGFRA",5156,"Yes","Yes","No"
"PIK3CA",5290,"Yes","Yes","No"
"PIK3R1",5295,"Yes","No","Yes"
"PPP2R1A",5518,"Yes","No","Yes"
"PRDM1",639,"Yes","No","Yes"
"PTCH1",5727,"Yes","No","Yes"
"PTEN",5728,"Yes","No","Yes"
"PTPN11",5781,"Yes","Yes","No"
"RB1",5925,"Yes","No","Yes"
"RET",5979,"Yes","Yes","No"
"RNF43",54894,"Yes","No","Yes"
"SETD2",29072,"Yes","No","Yes"
"SF3B1",23451,"Yes","Yes","No"
"SMAD2",4087,"Yes","No","Yes"
"SMAD4",4089,"Yes","No","Yes"
"SMARCA4",6597,"Yes","No","Yes"
"SMARCB1",6598,"Yes","No","Yes"
"SMO",6608,"Yes","Yes","No"
"SOCS1",8651,"Yes","No","Yes"
"SPOP",8405,"Yes","No","Yes"
"STAG2",10735,"Yes","No","Yes"
"STK11",6794,"Yes","No","Yes"
"TET2",54790,"Yes","No","Yes"
"TNFAIP3",7128,"Yes","No","Yes"
"TP53",7157,"Yes","No","Yes"
"TSC1",7248,"Yes","No","Yes"
"U2AF1",7307,"Yes","Yes","No"
"VHL",7428,"Yes","No","Yes"
"WT1",7490,"Yes","Yes","Yes"
"AKT2",208,"Yes","Yes","No"
"ARID2",196528,"Yes","No","Yes"
"ATR",545,"Yes","No","Yes"
"B2M",567,"Yes","No","Yes"
"BARD1",580,"Yes","No","Yes"
"BCL6",604,"Yes","Yes","No"
"BRD4",23476,"Yes","Yes","No"
"BRIP1",83990,"Yes","No","Yes"
"BTK",695,"Yes","Yes","No"
"CALR",811,"Yes","Yes","No"
"CASP8",841,"Yes","No","Yes"
"CBFB",865,"Yes","No","Yes"
"CCND1",595,"Yes","Yes","No"
"CCND2",894,"Yes","Yes","No"
"CCND3",896,"Yes","Yes","No"
"CCNE1",898,"Yes","Yes","No"
"CD274",29126,"Yes","Yes","No"
"CD79A",973,"Yes","Yes","No"
"CD79B",974,"Yes","Yes","No"
"CDK12",51755,"Yes","No","Yes"
"CDK4",1019,"Yes","Yes","No"
"CDK6",1021,"Yes","Yes","No"
"CDKN1B",1027,"Yes","No","Yes"
"CDKN2C",1031,"Yes","No","Yes"
"CHEK2",11200,"Yes","No","Yes"
"CRLF2",64109,"Yes","Yes","No"
"CSF1R",1436,"Yes","No","No"
"CSF3R",1441,"Yes","Yes","No"
"CTCF",10664,"Yes","No","Yes"
"CXCR4",7852,"Yes","Yes","No"
"DDR2",4921,"Yes","Yes","No"
"ERBB3",2065,"Yes","Yes","No"
"ERBB4",2066,"Yes","Yes","No"
"ERG",2078,"Yes","Yes","No"
"ESR1",2099,"Yes","Yes","No"
"ETV6",2120,"Yes","No","Yes"
"FANCA",2175,"Yes","No","Yes"
"FANCC",2176,"Yes","No","Yes"
"FGFR1",2260,"Yes","Yes","No"
"FGFR4",2264,"Yes","Yes","No"
"FLCN",201163,"Yes","No","Yes"
"FUBP1",8880,"Yes","No","Yes"
"GATA1",2623,"Yes","No","No"
"GATA2",2624,"Yes","Yes","No"
"H3-3A",3020,"Yes","Yes","No"
"H3C2",8358,"Yes","No","No"
"IKZF1",10320,"Yes","No","No"
"IRF4",3662,"Yes","Yes","No"
"JUN",3725,"Yes","Yes","No"
"KDM5A",5927,"Yes","Yes","No"
"KDR",3791,"Yes","Yes","No"
"KEAP1",9817,"Yes","No","Yes"
"KMT2A",4297,"Yes","No","Yes"
"KMT2C",58508,"Yes","No","Yes"
"MAP2K2",5605,"Yes","Yes","No"
"MAP2K4",6416,"Yes","No","Yes"
"MAPK1",5594,"Yes","Yes","No"
"MDM2",4193,"Yes","Yes","No"
"MDM4",4194,"Yes","Yes","No"
"MITF",4286,"Yes","Yes","Yes"
"MTOR",2475,"Yes","Yes","No"
"MUTYH",4595,"Yes","No","Yes"
"MYC",4609,"Yes","Yes","No"
"MYCL",4610,"Yes","Yes","No"
"MYCN",4613,"Yes","Yes","No"
"NKX2-1",7080,"Yes","Yes","No"
"NSD2",7468,"Yes","Yes","No"
"NSD3",54904,"Yes","No","No"
"NTRK1",4914,"Yes","Yes","No"
"NTRK3",4916,"Yes","Yes","No"
"PALB2",79728,"Yes","No","Yes"
"PDCD1LG2",80380,"Yes","Yes","No"
"PDGFRB",5159,"Yes","Yes","No"
"PHF6",84295,"Yes","No","Yes"
"PIM1",5292,"Yes","No","No"
"PRKAR1A",5573,"Yes","No","No"
"RAD21",5885,"Yes","No","Yes"
"RAF1",5894,"Yes","Yes","No"
"RARA",5914,"Yes","No","No"
"ROS1",6098,"Yes","Yes","No"
"RUNX1",861,"Yes","No","Yes"
"SDHA",6389,"Yes","No","Yes"
"SDHB",6390,"Yes","No","Yes"
"SDHC",6391,"Yes","No","Yes"
"SDHD",6392,"Yes","No","Yes"
"SOX2",6657,"Yes","Yes","No"
"SPEN",23013,"Yes","No","Yes"
"SRC",6714,"Yes","Yes","No"
"SRSF2",6427,"Yes","No","No"
"STAT3",6774,"Yes","Yes","No"
"SUFU",51684,"Yes","No","Yes"
"SYK",6850,"Yes","Yes","No"
"TENT5C",54855,"Yes","No","Yes"
"TGFBR2",7048,"Yes","No","Yes"
"TMPRSS2",7113,"Yes","No","No"
"TNFRSF14",8764,"Yes","No","Yes"
"TSC2",7249,"Yes","No","Yes"
"TSHR",7253,"Yes","Yes","No"
"XPO1",7514,"Yes","Yes","No"
"AKT3",10000,"Yes","Yes","No"
"ARAF",369,"Yes","Yes","No"
"ARID1B",57492,"Yes","No","Yes"
"AURKA",6790,"Yes","Yes","No"
"AURKB",9212,"Yes","Yes","No"
"AXL",558,"Yes","Yes","No"
"BCL10",8915,"Yes","No","Yes"
"BCORL1",63035,"Yes","No","Yes"
"BCR",613,"Yes","Yes","No"
"BIRC3",330,"Yes","No","No"
"BLM",641,"Yes","No","Yes"
"BTG1",694,"Yes","No","Yes"
"CDK8",1024,"Yes","Yes","No"
"CDKN2B",1030,"Yes","No","Yes"
"CHEK1",1111,"Yes","No","Yes"
