"Level"	"Gene"	"Alterations"	"Cancer Types"	"Drugs (for therapeutic implications only)"
1	"ABL1"	"BCR-ABL1 Fusion"	"B-Lymphoblastic Leukemia/Lymphoma"	"Dasatinib"
1	"ABL1"	"BCR-ABL1 Fusion"	"B-Lymphoblastic Leukemia/Lymphoma"	"Imatinib"
1	"ABL1"	"BCR-ABL1 Fusion"	"B-Lymphoblastic Leukemia/Lymphoma"	"Ponatinib"
1	"ABL1"	"BCR-ABL1 Fusion"	"Chronic Myelogenous Leukemia"	"Bosutinib"
1	"ABL1"	"BCR-ABL1 Fusion"	"Chronic Myelogenous Leukemia"	"Dasatinib"
1	"ABL1"	"BCR-ABL1 Fusion"	"Chronic Myelogenous Leukemia"	"Imatinib"
1	"ABL1"	"BCR-ABL1 Fusion"	"Chronic Myelogenous Leukemia"	"Nilotinib"
1	"ABL1"	"T315I"	"B-Lymphoblastic Leukemia/Lymphoma"	"Ponatinib"
1	"ABL1"	"T315I"	"Chronic Myelogenous Leukemia"	"Ponatinib"
1	"ALK"	"Fusions"	"Anaplastic Large-Cell Lymphoma ALK Positive"	"Crizotinib"
1	"ALK"	"Fusions"	"Non-Small Cell Lung Cancer"	"Alectinib"
1	"ALK"	"Fusions"	"Non-Small Cell Lung Cancer"	"Ceritinib"
1	"ALK"	"Fusions"	"Non-Small Cell Lung Cancer"	"Crizotinib"
1	"ALK"	"Oncogenic Mutations"	"Non-Small Cell Lung Cancer"	"Brigatinib"
1	"ALK"	"Oncogenic Mutations"	"Non-Small Cell Lung Cancer"	"Lorlatinib"
1	"ATM"	"Oncogenic Mutations"	"Prostate Cancer"	"Olaparib"
1	"BARD1"	"Oncogenic Mutations"	"Prostate Cancer"	"Olaparib"
1	"BRAF"	"V600"	"Erdheim-Chester Disease"	"Vemurafenib"
1	"BRAF"	"V600"	"Melanoma"	"Vemurafenib + Atezolizumab + Cobimetinib"
1	"BRAF"	"V600E"	"Anaplastic Thyroid Cancer"	"Dabrafenib + Trametinib"
1	"BRAF"	"V600E"	"Colorectal Cancer"	"Encorafenib + Cetuximab"
1	"BRAF"	"V600E"	"Melanoma"	"Dabrafenib"
1	"BRAF"	"V600E"	"Melanoma"	"Vemurafenib"
1	"BRAF"	"V600E"	"Non-Small Cell Lung Cancer"	"Dabrafenib + Trametinib"
1	"BRAF"	"V600E, V600K"	"Melanoma"	"Dabrafenib + Trametinib"
1	"BRAF"	"V600E, V600K"	"Melanoma"	"Encorafenib + Binimetinib"
1	"BRAF"	"V600E, V600K"	"Melanoma"	"Trametinib"
1	"BRAF"	"V600E, V600K"	"Melanoma"	"Vemurafenib + Cobimetinib"
1	"BRCA1"	"Oncogenic Mutations"	"Ovary/Fallopian Tube, Ovarian Cancer, Peritoneal Serous Carcinoma"	"Niraparib"
1	"BRCA1"	"Oncogenic Mutations"	"Ovary/Fallopian Tube, Ovarian Cancer, Peritoneal Serous Carcinoma"	"Olaparib"
1	"BRCA1"	"Oncogenic Mutations"	"Ovary/Fallopian Tube, Ovarian Cancer, Peritoneal Serous Carcinoma"	"Rucaparib"
1	"BRCA1"	"Oncogenic Mutations"	"Prostate Cancer, NOS, Prostate Cancer"	"Olaparib"
1	"BRCA1"	"Oncogenic Mutations"	"Prostate Cancer, NOS, Prostate Cancer"	"Rucaparib"
1	"BRCA2"	"Oncogenic Mutations"	"Ovary/Fallopian Tube, Ovarian Cancer, Peritoneal Serous Carcinoma"	"Niraparib"
1	"BRCA2"	"Oncogenic Mutations"	"Ovary/Fallopian Tube, Ovarian Cancer, Peritoneal Serous Carcinoma"	"Olaparib"
1	"BRCA2"	"Oncogenic Mutations"	"Ovary/Fallopian Tube, Ovarian Cancer, Peritoneal Serous Carcinoma"	"Rucaparib"
1	"BRCA2"	"Oncogenic Mutations"	"Prostate Cancer, NOS, Prostate Cancer"	"Olaparib"
1	"BRCA2"	"Oncogenic Mutations"	"Prostate Cancer, NOS, Prostate Cancer"	"Rucaparib"
1	"BRIP1"	"Oncogenic Mutations"	"Prostate Cancer"	"Olaparib"
1	"CDK12"	"Oncogenic Mutations"	"Prostate Cancer"	"Olaparib"
1	"CHEK1"	"Oncogenic Mutations"	"Prostate Cancer"	"Olaparib"
1	"CHEK2"	"Oncogenic Mutations"	"Prostate Cancer"	"Olaparib"
1	"EGFR"	"Exon 19 deletion, L858R"	"Non-Small Cell Lung Cancer"	"Afatinib"
1	"EGFR"	"Exon 19 deletion, L858R"	"Non-Small Cell Lung Cancer"	"Dacomitinib"
1	"EGFR"	"Exon 19 deletion, L858R"	"Non-Small Cell Lung Cancer"	"Erlotinib"
1	"EGFR"	"Exon 19 deletion, L858R"	"Non-Small Cell Lung Cancer"	"Gefitinib"
1	"EGFR"	"Exon 19 deletion, L858R"	"Non-Small Cell Lung Cancer"	"Osimertinib"
1	"EGFR"	"G719"	"Non-Small Cell Lung Cancer"	"Afatinib"
1	"EGFR"	"L861Q"	"Non-Small Cell Lung Cancer"	"Afatinib"
1	"EGFR"	"S768I"	"Non-Small Cell Lung Cancer"	"Afatinib"
1	"EGFR"	"T790M"	"Non-Small Cell Lung Cancer"	"Osimertinib"
1	"ERBB2"	"Amplification"	"Breast Cancer"	"Ado-Trastuzumab Emtansine"
1	"ERBB2"	"Amplification"	"Breast Cancer"	"Capecitabine + Trastuzumab + Tucatinib"
1	"ERBB2"	"Amplification"	"Breast Cancer"	"Lapatinib + Letrozole, Lapatinib + Capecitabine"
1	"ERBB2"	"Amplification"	"Breast Cancer"	"Margetuximab + Chemotherapy"
1	"ERBB2"	"Amplification"	"Breast Cancer"	"Neratinib + Capecitabine, Neratinib"
